Genre,Book Title,Description,Author
Fantasy Adventure Mythology,The Hobbit,A humble hobbit joins a group of dwarves to reclaim a stolen treasure guarded by a fierce dragon,J R R Tolkien
Fantasy Magic Coming of Age,Harry Potter and the Sorcerers Stone,A lonely boy learns he is a wizard and enters a world of magic friendship and danger,J K Rowling
Science Fiction Politics Religion,Dune,On a desert planet a young heir discovers destiny power and a prophecy that will change the universe,Frank Herbert
Science Fiction War Strategy,Enders Game,A gifted child is trained through war simulations to protect humanity from an alien race,Orson Scott Card
Romance Drama Society,Pride and Prejudice,A sharp minded woman confronts pride class and love in nineteenth century England,Jane Austen
Romance Tragedy Drama,The Notebook,A passionate love story between two people separated by circumstance and reunited by fate,Nicholas Sparks
Mystery Thriller Marriage,Gone Girl,A woman disappears on her anniversary and her husband becomes the prime suspect,Gillian Flynn
Mystery Crime Investigation,The Girl with the Dragon Tattoo,A journalist and hacker uncover corruption and dark family secrets,Stieg Larsson
Thriller Mystery Conspiracy,The Da Vinci Code,A professor unravels secret codes hidden in art and ancient history,Dan Brown
Thriller Psychology Crime,The Silent Patient,A therapist investigates a woman who has stopped speaking after a violent act,Alex Michaelides
Historical Fiction War Drama,All the Light We Cannot See,A blind girl and a German boy struggle to survive during World War Two,Anthony Doerr
Historical Fiction War Courage,The Book Thief,A young girl finds comfort in books during the horrors of Nazi Germany,Markus Zusak
Horror Supernatural Fear,It,A creature that feeds on fear terrorizes children in a small town over generations,Stephen King
Horror Ghost Paranormal,The Haunting of Hill House,Strangers gather in a haunted mansion and encounter unseen horrors,Shirley Jackson
Adventure Survival Sea,Life of Pi,A boy survives a shipwreck and must share a lifeboat with a tiger across the Pacific Ocean,Yann Martel
Adventure Wilderness Animal,The Call of the Wild,A domesticated dog faces the wild and rediscovers his primal instincts,Jack London
Drama Romance Illness,The Fault in Our Stars,Two teenagers with terminal illness fall in love and learn the meaning of life,John Green
Drama Family Growth,Little Women,Four sisters navigate love ambition and loss during the American Civil War,Louisa May Alcott
Philosophy Spiritual Journey,The Alchemist,A young shepherd follows a dream across the desert to find his destiny,Paulo Coelho
Philosophy Spiritual Enlightenment,Siddhartha,A man searches for truth and inner peace through spiritual exploration,Hermann Hesse
Fantasy Dark Magic War,The Name of the Wind,A gifted musician recounts his rise from orphan to legendary wizard,Patrick Rothfuss
Fantasy Epic Adventure,The Way of Kings,A broken soldier discovers destiny in a world torn by war and storms,Brandon Sanderson
Science Fiction Space Survival,The Martian,A stranded astronaut uses science and determination to survive on Mars,Andy Weir
Science Fiction Future Dystopia,1984,A man rebels against a totalitarian regime that controls every aspect of life,George Orwell
